timestamp,sourceIP,destinationIP,source port,destination port,Protocol,traffic type,action,note,ml_decision,ml_probability
2026-07-07T14:34:20.154Z,10.56.64.133,151.101.1.140,51377,443,TCP,https,denied,Denied by firewall policy,,-1.0000
2026-07-07T14:34:20.182Z,10.152.187.1,93.184.216.34,58915,443,TCP,https,denied,Denied: security policy,,-1.0000
2026-07-07T14:34:20.186Z,172.25.64.145,1.1.1.1,49799,53,TCP,dns_tcp,denied,Denied by ACL,,-1.0000
2026-07-07T14:34:20.235Z,10.224.63.229,10.101.142.156,61259,3306,TCP,mysql,denied,Denied by ACL,,-1.0000
2026-07-07T14:34:20.247Z,172.19.88.194,151.101.1.140,62807,79,TCP,http,denied,Denied by firewall policy,,-1.0000
2026-07-07T14:34:20.282Z,10.60.29.139,151.101.1.140,52817,81,TCP,http,denied,Denied: port not allowed,,-1.0000
2026-07-07T14:34:20.305Z,172.23.171.8,151.101.1.140,54897,444,TCP,https,denied,Denied: connection blocked,,-1.0000
2026-07-07T14:34:20.318Z,10.95.79.221,104.16.132.229,57133,443,TCP,https,denied,Denied: port not allowed,,-1.0000
2026-07-07T14:34:20.329Z,10.232.127.22,93.184.216.34,62110,80,TCP,http,denied,Denied by ACL,,-1.0000
2026-07-07T14:34:20.334Z,10.227.69.253,104.16.132.229,54610,81,TCP,http,denied,Denied: port not allowed,,-1.0000
2026-07-07T14:34:20.341Z,10.2.191.107,8.8.8.8,50211,53,TCP,dns_tcp,denied,Denied: security policy,,-1.0000
2026-07-07T14:34:20.360Z,10.8.213.219,151.101.1.140,59148,443,TCP,https,denied,Denied by ACL,,-1.0000
2026-07-07T14:34:20.377Z,172.28.183.141,151.101.1.140,65385,444,TCP,https,denied,Denied by ACL,,-1.0000
2026-07-07T14:34:20.391Z,10.177.170.142,93.184.216.34,55040,80,TCP,http,denied,Denied: connection blocked,,-1.0000
2026-07-07T14:34:20.400Z,192.168.26.17,93.184.216.34,62280,80,TCP,http,denied,Denied by firewall policy,,-1.0000
2026-07-07T14:34:20.406Z,192.168.242.29,162.159.200.1,53131,123,UDP,ntp,denied,Denied: port not allowed,,-1.0000
2026-07-07T14:34:20.415Z,172.24.153.173,93.184.216.34,50595,443,TCP,https,denied,Denied by ACL,,-1.0000
2026-07-07T14:34:20.417Z,10.216.149.166,9.9.9.9,56781,53,TCP,dns_tcp,denied,Denied by ACL,,-1.0000
2026-07-07T14:34:20.430Z,192.168.237.124,1.1.1.1,52676,53,UDP,dns_udp,denied,Denied: port not allowed,,-1.0000
2026-07-07T14:34:20.448Z,172.18.32.124,192.168.174.102,50290,389,TCP,ldap,denied,Denied: port not allowed,,-1.0000
2026-07-07T14:34:20.489Z,172.20.198.95,192.168.106.50,54802,442,TCP,https,denied,Denied by firewall policy,,-1.0000
2026-07-07T14:34:20.490Z,192.168.239.95,151.101.1.140,59486,443,TCP,https,denied,Denied by ACL,,-1.0000
